Тип мероприятия,Формат мероприятия,Место проведения,Количество участников,Периодичность
Уборка территории,Волонтерская деятельность,Измайловский парк,478,Раз в год
Уход за парком,Групповое,Сокольники,82,Раз в месяц
Эко-лекция,Волонтерская деятельность,Битцевский лес,120,Раз в год
Уход за парком,Волонтерская деятельность,Мытищи,244,Раз в год
Насаждение деревьев,Групповое,Крылатское,315,Раз в год
Уход за парком,Индивидуальное,Химки,249,Раз в месяц
Эко-лекция,Индивидуальное,Подольск,353,Раз в месяц
Эко-лекция,Групповое,Битцевский лес,313,Еженедельно
Уход за парком,Индивидуальное,Сокольники,69,Раз в месяц
Субботник,Групповое,Битцевский лес,21,Раз в год
Субботник,Индивидуальное,Битцевский лес,235,Еженедельно
Субботник,Индивидуальное,Сокольники,15,Еженедельно
Уборка территории,Групповое,Зеленоград,24,Раз в год
Уборка территории,Индивидуальное,Сокольники,317,Раз в месяц
Субботник,Волонтерская деятельность,Люблино,287,Раз в год
Насаждение деревьев,Индивидуальное,Лосиный Остров,93,Еженедельно
Субботник,Групповое,Парк Горького,234,Раз в год
Насаждение деревьев,Волонтерская деятельность,Воробьевы горы,363,Раз в месяц
Уход за парком,Индивидуальное,Крылатское,432,Раз в год
Уборка территории,Волонтерская деятельность,Воробьевы горы,148,Еженедельно
Эко-лекция,Индивидуальное,Воробьевы горы,147,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Воробьевы горы,448,Еженедельно
Уборка территории,Индивидуальное,Парк Горького,170,Раз в год
Уход за парком,Индивидуальное,Крылатское,485,Раз в год
Уборка территории,Волонтерская деятельность,Химки,460,Раз в месяц
Насаждение деревьев,Групповое,Химки,123,Еженедельно
Насаждение деревьев,Групповое,Лосиный Остров,340,Раз в год
Насаждение деревьев,Групповое,Парк Горького,53,Раз в год
Субботник,Волонтерская деятельность,Подольск,453,Еженедельно
Уход за парком,Индивидуальное,Люблино,282,Еженедельно
Насаждение деревьев,Групповое,Мытищи,80,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Лосиный Остров,49,Раз в месяц
Субботник,Волонтерская деятельность,Химки,226,Раз в год
Эко-лекция,Индивидуальное,Химки,351,Раз в год
Субботник,Волонтерская деятельность,Подольск,294,Еженедельно
Субботник,Волонтерская деятельность,Подольск,36,Раз в год
Насаждение деревьев,Волонтерская деятельность,Сокольники,257,Еженедельно
Субботник,Индивидуальное,Измайловский парк,283,Еженедельно
Уход за парком,Индивидуальное,Битцевский лес,362,Раз в месяц
Эко-лекция,Групповое,Воробьевы горы,426,Раз в год
Субботник,Групповое,Парк Горького,479,Раз в год
Субботник,Индивидуальное,Измайловский парк,261,Еженедельно
Уборка территории,Групповое,Битцевский лес,270,Раз в месяц
Насаждение деревьев,Групповое,Люблино,352,Раз в месяц
Уход за парком,Групповое,Битцевский лес,467,Раз в месяц
Субботник,Индивидуальное,Парк Горького,287,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Измайловский парк,223,Раз в год
Эко-лекция,Волонтерская деятельность,Крылатское,298,Раз в месяц
Уборка территории,Волонтерская деятельность,Измайловский парк,305,Раз в год
Насаждение деревьев,Волонтерская деятельность,Крылатское,184,Раз в месяц
Уборка территории,Индивидуальное,Сокольники,446,Еженедельно
Эко-лекция,Волонтерская деятельность,Сокольники,162,Еженедельно
Насаждение деревьев,Групповое,Крылатское,188,Еженедельно
Насаждение деревьев,Индивидуальное,Мытищи,425,Раз в месяц
Уход за парком,Индивидуальное,Химки,76,Раз в месяц
Уборка территории,Волонтерская деятельность,Воробьевы горы,439,Раз в месяц
Уборка территории,Волонтерская деятельность,Зеленоград,410,Раз в месяц
Эко-лекция,Индивидуальное,Парк Горького,256,Раз в год
Субботник,Волонтерская деятельность,Подольск,94,Раз в год
Уборка территории,Волонтерская деятельность,Лосиный Остров,104,Раз в год
Уход за парком,Волонтерская деятельность,Битцевский лес,46,Раз в месяц
Уход за парком,Индивидуальное,Воробьевы горы,330,Раз в месяц
Уборка территории,Индивидуальное,Зеленоград,484,Еженедельно
Насаждение деревьев,Групповое,Воробьевы горы,150,Раз в месяц
Субботник,Групповое,Лосиный Остров,135,Еженедельно
Уборка территории,Индивидуальное,Парк Горького,305,Раз в месяц
Насаждение деревьев,Индивидуальное,Крылатское,151,Раз в год
Насаждение деревьев,Групповое,Люблино,342,Раз в месяц
Эко-лекция,Волонтерская деятельность,Подольск,183,Еженедельно
Насаждение деревьев,Групповое,Измайловский парк,266,Раз в год
Насаждение деревьев,Групповое,Измайловский парк,94,Раз в месяц
Уборка территории,Волонтерская деятельность,Парк Горького,353,Раз в месяц
Уход за парком,Волонтерская деятельность,Зеленоград,188,Еженедельно
Уборка территории,Волонтерская деятельность,Зеленоград,142,Раз в месяц
Уборка территории,Индивидуальное,Химки,60,Раз в год
Насаждение деревьев,Волонтерская деятельность,Воробьевы горы,96,Раз в год
Насаждение деревьев,Групповое,Битцевский лес,497,Еженедельно
Субботник,Волонтерская деятельность,Лосиный Остров,162,Раз в месяц
Эко-лекция,Групповое,Парк Горького,445,Раз в месяц
Эко-лекция,Волонтерская деятельность,Зеленоград,302,Раз в год
Уборка территории,Волонтерская деятельность,Лосиный Остров,6,Еженедельно
Уборка территории,Индивидуальное,Мытищи,417,Раз в год
Уход за парком,Индивидуальное,Мытищи,365,Раз в год
Уход за парком,Индивидуальное,Мытищи,45,Еженедельно
Насаждение деревьев,Индивидуальное,Химки,468,Раз в год
Эко-лекция,Групповое,Воробьевы горы,466,Еженедельно
Уход за парком,Волонтерская деятельность,Битцевский лес,150,Раз в месяц
Эко-лекция,Волонтерская деятельность,Лосиный Остров,8,Раз в год
Уход за парком,Волонтерская деятельность,Измайловский парк,294,Еженедельно
Насаждение деревьев,Групповое,Крылатское,176,Еженедельно
Эко-лекция,Волонтерская деятельность,Лосиный Остров,265,Еженедельно
Эко-лекция,Индивидуальное,Люблино,50,Еженедельно
Эко-лекция,Индивидуальное,Лосиный Остров,409,Еженедельно
Субботник,Индивидуальное,Парк Горького,409,Раз в месяц
Уход за парком,Волонтерская деятельность,Битцевский лес,346,Еженедельно
Эко-лекция,Индивидуальное,Крылатское,466,Раз в год
Субботник,Волонтерская деятельность,Мытищи,367,Еженедельно
Уборка территории,Индивидуальное,Мытищи,192,Раз в год
Эко-лекция,Индивидуальное,Зеленоград,396,Раз в год
Эко-лекция,Волонтерская деятельность,Парк Горького,263,Еженедельно
Субботник,Групповое,Крылатское,325,Еженедельно
Насаждение деревьев,Индивидуальное,Крылатское,224,Еженедельно
Уборка территории,Групповое,Битцевский лес,334,Еженедельно
Эко-лекция,Групповое,Подольск,460,Раз в месяц
Насаждение деревьев,Групповое,Мытищи,30,Раз в месяц
Уход за парком,Волонтерская деятельность,Сокольники,15,Еженедельно
Уборка территории,Волонтерская деятельность,Воробьевы горы,417,Раз в месяц
Уход за парком,Индивидуальное,Люблино,160,Еженедельно
Эко-лекция,Волонтерская деятельность,Мытищи,366,Еженедельно
Уборка территории,Индивидуальное,Химки,7,Раз в год
Эко-лекция,Волонтерская деятельность,Крылатское,74,Раз в месяц
Насаждение деревьев,Групповое,Зеленоград,209,Раз в месяц
Насаждение деревьев,Групповое,Измайловский парк,363,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Крылатское,325,Еженедельно
Субботник,Волонтерская деятельность,Парк Горького,424,Еженедельно
Уход за парком,Групповое,Битцевский лес,347,Раз в год
Уборка территории,Волонтерская деятельность,Измайловский парк,318,Еженедельно
Уход за парком,Индивидуальное,Люблино,132,Еженедельно
Уход за парком,Групповое,Зеленоград,102,Еженедельно
Уход за парком,Волонтерская деятельность,Измайловский парк,499,Раз в год
Эко-лекция,Волонтерская деятельность,Химки,405,Раз в год
Субботник,Волонтерская деятельность,Сокольники,273,Раз в месяц
Субботник,Индивидуальное,Парк Горького,24,Раз в год
Насаждение деревьев,Индивидуальное,Битцевский лес,203,Раз в месяц
Субботник,Индивидуальное,Химки,477,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Люблино,42,Раз в месяц
Уборка территории,Волонтерская деятельность,Люблино,449,Раз в месяц
Насаждение деревьев,Индивидуальное,Химки,289,Еженедельно
Уборка территории,Индивидуальное,Лосиный Остров,309,Раз в месяц
Эко-лекция,Групповое,Мытищи,448,Раз в год
Уборка территории,Групповое,Зеленоград,439,Раз в месяц
Уборка территории,Волонтерская деятельность,Парк Горького,396,Раз в месяц
Эко-лекция,Групповое,Сокольники,103,Раз в год
Насаждение деревьев,Индивидуальное,Крылатское,485,Еженедельно
Уход за парком,Волонтерская деятельность,Подольск,358,Еженедельно
Эко-лекция,Волонтерская деятельность,Воробьевы горы,169,Раз в месяц
Насаждение деревьев,Индивидуальное,Зеленоград,451,Раз в год
Эко-лекция,Волонтерская деятельность,Люблино,265,Раз в год
Насаждение деревьев,Волонтерская деятельность,Воробьевы горы,389,Раз в месяц
Эко-лекция,Индивидуальное,Мытищи,70,Раз в месяц
Уборка территории,Индивидуальное,Химки,120,Раз в год
Уход за парком,Индивидуальное,Зеленоград,173,Еженедельно
Уход за парком,Индивидуальное,Зеленоград,153,Еженедельно
Насаждение деревьев,Групповое,Крылатское,5,Еженедельно
Насаждение деревьев,Групповое,Измайловский парк,248,Раз в год
Уход за парком,Волонтерская деятельность,Зеленоград,82,Еженедельно
Уход за парком,Индивидуальное,Измайловский парк,33,Раз в год
Субботник,Индивидуальное,Лосиный Остров,222,Еженедельно
Уход за парком,Групповое,Химки,468,Раз в год
Уборка территории,Волонтерская деятельность,Подольск,115,Раз в месяц
Эко-лекция,Групповое,Лосиный Остров,175,Раз в месяц
Уход за парком,Волонтерская деятельность,Крылатское,30,Раз в месяц
Субботник,Индивидуальное,Подольск,146,Раз в год
Эко-лекция,Волонтерская деятельность,Подольск,174,Еженедельно
Эко-лекция,Индивидуальное,Битцевский лес,185,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Люблино,243,Еженедельно
Уборка территории,Групповое,Мытищи,85,Раз в год
Уборка территории,Индивидуальное,Сокольники,23,Раз в год
Эко-лекция,Волонтерская деятельность,Парк Горького,235,Еженедельно
Субботник,Индивидуальное,Лосиный Остров,393,Раз в месяц
Субботник,Групповое,Битцевский лес,46,Еженедельно
Эко-лекция,Индивидуальное,Химки,279,Раз в год
Уборка территории,Групповое,Сокольники,313,Раз в год
Насаждение деревьев,Индивидуальное,Сокольники,172,Раз в месяц
Субботник,Индивидуальное,Битцевский лес,410,Еженедельно
Уборка территории,Индивидуальное,Измайловский парк,79,Еженедельно
Уборка территории,Волонтерская деятельность,Битцевский лес,128,Раз в месяц
Уход за парком,Групповое,Парк Горького,367,Раз в месяц
Эко-лекция,Индивидуальное,Люблино,234,Раз в год
Насаждение деревьев,Групповое,Сокольники,161,Раз в год
Эко-лекция,Индивидуальное,Крылатское,344,Еженедельно
Эко-лекция,Индивидуальное,Лосиный Остров,469,Еженедельно
Субботник,Волонтерская деятельность,Сокольники,256,Раз в месяц
Уход за парком,Индивидуальное,Воробьевы горы,293,Раз в год
Эко-лекция,Волонтерская деятельность,Химки,338,Раз в месяц
Уборка территории,Групповое,Воробьевы горы,34,Еженедельно
Уход за парком,Волонтерская деятельность,Воробьевы горы,336,Раз в год
Уборка территории,Групповое,Крылатское,428,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Битцевский лес,399,Раз в год
Уход за парком,Групповое,Крылатское,284,Раз в год
Эко-лекция,Групповое,Парк Горького,28,Еженедельно
Эко-лекция,Волонтерская деятельность,Мытищи,496,Еженедельно
Уход за парком,Волонтерская деятельность,Мытищи,399,Еженедельно
Насаждение деревьев,Групповое,Битцевский лес,5,Еженедельно
Эко-лекция,Групповое,Лосиный Остров,124,Раз в месяц
Эко-лекция,Индивидуальное,Химки,287,Еженедельно
Субботник,Индивидуальное,Парк Горького,37,Раз в год
Уборка территории,Индивидуальное,Битцевский лес,346,Раз в месяц
Уход за парком,Индивидуальное,Подольск,399,Раз в месяц
Уборка территории,Групповое,Сокольники,334,Еженедельно
Субботник,Групповое,Лосиный Остров,267,Раз в месяц
Эко-лекция,Групповое,Мытищи,302,Раз в месяц
Уход за парком,Групповое,Химки,321,Раз в месяц
Насаждение деревьев,Групповое,Воробьевы горы,129,Раз в год
Эко-лекция,Групповое,Крылатское,401,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Воробьевы горы,483,Еженедельно
Субботник,Индивидуальное,Химки,451,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Химки,33,Еженедельно
Уборка территории,Групповое,Измайловский парк,177,Раз в год
Уборка территории,Групповое,Сокольники,320,Раз в год
Субботник,Волонтерская деятельность,Мытищи,48,Раз в год
Уборка территории,Индивидуальное,Крылатское,265,Еженедельно
Эко-лекция,Групповое,Подольск,111,Раз в год
Уборка территории,Индивидуальное,Воробьевы горы,196,Еженедельно
Субботник,Групповое,Воробьевы горы,322,Еженедельно
Субботник,Групповое,Сокольники,281,Раз в год
Уход за парком,Групповое,Измайловский парк,49,Еженедельно
Эко-лекция,Групповое,Битцевский лес,108,Раз в год
Уход за парком,Волонтерская деятельность,Подольск,380,Еженедельно
Уход за парком,Групповое,Крылатское,324,Раз в год
Уход за парком,Волонтерская деятельность,Лосиный Остров,39,Еженедельно
Насаждение деревьев,Групповое,Зеленоград,446,Еженедельно
Уход за парком,Групповое,Мытищи,126,Еженедельно
Эко-лекция,Индивидуальное,Подольск,52,Раз в год
Субботник,Групповое,Парк Горького,417,Раз в год
Субботник,Волонтерская деятельность,Измайловский парк,19,Еженедельно
Уход за парком,Волонтерская деятельность,Подольск,182,Раз в год
Уход за парком,Групповое,Сокольники,209,Еженедельно
Уборка территории,Волонтерская деятельность,Лосиный Остров,204,Раз в месяц
Субботник,Групповое,Воробьевы горы,473,Раз в месяц
Насаждение деревьев,Индивидуальное,Воробьевы горы,96,Раз в год
Субботник,Индивидуальное,Битцевский лес,209,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Зеленоград,453,Раз в месяц
Эко-лекция,Групповое,Подольск,284,Еженедельно
Уборка территории,Групповое,Зеленоград,133,Раз в год
Субботник,Групповое,Химки,41,Еженедельно
Уход за парком,Волонтерская деятельность,Химки,350,Раз в год
Уборка территории,Индивидуальное,Битцевский лес,134,Еженедельно
Субботник,Волонтерская деятельность,Лосиный Остров,87,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Химки,69,Еженедельно
Эко-лекция,Индивидуальное,Химки,151,Раз в месяц
Субботник,Индивидуальное,Крылатское,157,Еженедельно
Уход за парком,Волонтерская деятельность,Воробьевы горы,404,Раз в год
Уход за парком,Групповое,Измайловский парк,90,Раз в месяц
Уход за парком,Индивидуальное,Химки,107,Раз в год
Субботник,Групповое,Воробьевы горы,73,Раз в месяц
Уход за парком,Групповое,Воробьевы горы,123,Еженедельно
Субботник,Волонтерская деятельность,Люблино,480,Раз в месяц
Субботник,Волонтерская деятельность,Крылатское,464,Раз в месяц
Эко-лекция,Волонтерская деятельность,Подольск,277,Раз в год
Субботник,Индивидуальное,Воробьевы горы,144,Раз в год
Уборка территории,Групповое,Люблино,120,Раз в месяц
Субботник,Индивидуальное,Мытищи,412,Еженедельно
Эко-лекция,Индивидуальное,Химки,363,Раз в год
Эко-лекция,Волонтерская деятельность,Сокольники,312,Еженедельно
Уборка территории,Групповое,Крылатское,187,Раз в год
Уход за парком,Групповое,Подольск,429,Еженедельно
Субботник,Волонтерская деятельность,Сокольники,288,Еженедельно
Уборка территории,Волонтерская деятельность,Подольск,77,Раз в месяц
Насаждение деревьев,Групповое,Мытищи,380,Раз в год
Насаждение деревьев,Волонтерская деятельность,Измайловский парк,160,Еженедельно
Субботник,Индивидуальное,Люблино,176,Раз в год
Уход за парком,Индивидуальное,Подольск,114,Раз в месяц
Эко-лекция,Волонтерская деятельность,Мытищи,342,Еженедельно
Субботник,Групповое,Битцевский лес,65,Раз в месяц
Уход за парком,Волонтерская деятельность,Химки,355,Еженедельно
Уход за парком,Групповое,Парк Горького,239,Еженедельно
Уход за парком,Индивидуальное,Сокольники,314,Еженедельно
Эко-лекция,Индивидуальное,Химки,416,Раз в месяц
Эко-лекция,Групповое,Битцевский лес,329,Еженедельно
Субботник,Индивидуальное,Подольск,358,Еженедельно
Эко-лекция,Групповое,Мытищи,380,Раз в год
Уход за парком,Индивидуальное,Химки,210,Еженедельно
Насаждение деревьев,Групповое,Подольск,486,Раз в месяц
Эко-лекция,Индивидуальное,Зеленоград,272,Раз в год
Субботник,Волонтерская деятельность,Измайловский парк,431,Еженедельно
Уход за парком,Групповое,Химки,343,Раз в год
Уборка территории,Волонтерская деятельность,Крылатское,23,Раз в месяц
Субботник,Волонтерская деятельность,Крылатское,98,Раз в месяц
Эко-лекция,Волонтерская деятельность,Воробьевы горы,36,Раз в год
Уход за парком,Групповое,Подольск,210,Еженедельно
Эко-лекция,Групповое,Битцевский лес,71,Раз в месяц
Эко-лекция,Групповое,Люблино,22,Раз в месяц
Уборка территории,Волонтерская деятельность,Зеленоград,167,Еженедельно
Уборка территории,Групповое,Измайловский парк,223,Раз в месяц
Эко-лекция,Групповое,Воробьевы горы,25,Раз в месяц
Эко-лекция,Индивидуальное,Мытищи,468,Раз в год
Уборка территории,Индивидуальное,Сокольники,453,Еженедельно
Эко-лекция,Индивидуальное,Парк Горького,64,Раз в год
Субботник,Групповое,Зеленоград,475,Раз в год
Насаждение деревьев,Волонтерская деятельность,Химки,379,Еженедельно
Субботник,Индивидуальное,Зеленоград,178,Раз в год
Уход за парком,Волонтерская деятельность,Подольск,92,Раз в год
Субботник,Индивидуальное,Крылатское,97,Раз в год
Насаждение деревьев,Волонтерская деятельность,Измайловский парк,311,Еженедельно
Уход за парком,Волонтерская деятельность,Подольск,322,Еженедельно
Субботник,Волонтерская деятельность,Крылатское,330,Еженедельно
Уборка территории,Индивидуальное,Крылатское,96,Раз в месяц
Насаждение деревьев,Индивидуальное,Сокольники,44,Раз в месяц
Уборка территории,Волонтерская деятельность,Битцевский лес,262,Раз в год
Эко-лекция,Индивидуальное,Лосиный Остров,185,Раз в год
Субботник,Волонтерская деятельность,Крылатское,279,Раз в месяц
Уход за парком,Волонтерская деятельность,Лосиный Остров,14,Раз в месяц
Насаждение деревьев,Индивидуальное,Лосиный Остров,264,Раз в год
Насаждение деревьев,Волонтерская деятельность,Зеленоград,251,Еженедельно
Эко-лекция,Индивидуальное,Химки,363,Раз в год
Уход за парком,Волонтерская деятельность,Парк Горького,341,Еженедельно
Эко-лекция,Групповое,Подольск,90,Раз в месяц
Уход за парком,Волонтерская деятельность,Люблино,157,Раз в месяц
Субботник,Волонтерская деятельность,Воробьевы горы,269,Раз в год
Субботник,Групповое,Химки,194,Еженедельно
Субботник,Волонтерская деятельность,Воробьевы горы,161,Раз в год
Уборка территории,Групповое,Лосиный Остров,379,Раз в год
Насаждение деревьев,Волонтерская деятельность,Химки,370,Раз в год
Уход за парком,Волонтерская деятельность,Люблино,304,Раз в год
Уход за парком,Групповое,Люблино,9,Еженедельно
Субботник,Волонтерская деятельность,Крылатское,420,Еженедельно
Эко-лекция,Волонтерская деятельность,Зеленоград,205,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Зеленоград,408,Раз в год
Насаждение деревьев,Групповое,Сокольники,159,Раз в год
Уборка территории,Волонтерская деятельность,Лосиный Остров,465,Еженедельно
Насаждение деревьев,Индивидуальное,Воробьевы горы,82,Раз в месяц
Уход за парком,Групповое,Сокольники,251,Раз в год
Уход за парком,Групповое,Парк Горького,58,Раз в год
Уборка территории,Групповое,Воробьевы горы,90,Раз в год
Уход за парком,Волонтерская деятельность,Подольск,193,Еженедельно
Эко-лекция,Групповое,Крылатское,26,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Воробьевы горы,394,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Подольск,102,Раз в месяц
Уборка территории,Групповое,Мытищи,94,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Химки,208,Еженедельно
Уход за парком,Индивидуальное,Лосиный Остров,218,Раз в месяц
Уход за парком,Волонтерская деятельность,Парк Горького,252,Раз в год
Субботник,Волонтерская деятельность,Воробьевы горы,208,Раз в год
Эко-лекция,Групповое,Лосиный Остров,271,Еженедельно
Уход за парком,Волонтерская деятельность,Лосиный Остров,281,Еженедельно
Уход за парком,Волонтерская деятельность,Сокольники,84,Раз в месяц
Уборка территории,Индивидуальное,Лосиный Остров,446,Раз в год
Уход за парком,Групповое,Лосиный Остров,6,Раз в месяц
Уборка территории,Групповое,Химки,306,Раз в год
Субботник,Волонтерская деятельность,Парк Горького,144,Еженедельно
Субботник,Волонтерская деятельность,Крылатское,294,Еженедельно
Уход за парком,Волонтерская деятельность,Зеленоград,455,Раз в год
Насаждение деревьев,Групповое,Парк Горького,238,Раз в месяц
Уборка территории,Волонтерская деятельность,Сокольники,175,Раз в месяц
Уборка территории,Волонтерская деятельность,Измайловский парк,379,Еженедельно
Насаждение деревьев,Индивидуальное,Сокольники,7,Раз в год
Уход за парком,Волонтерская деятельность,Воробьевы горы,106,Еженедельно
Эко-лекция,Волонтерская деятельность,Подольск,460,Раз в месяц
Уход за парком,Волонтерская деятельность,Сокольники,373,Еженедельно
Уборка территории,Индивидуальное,Зеленоград,296,Раз в год
Субботник,Индивидуальное,Зеленоград,22,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Подольск,383,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Битцевский лес,20,Раз в месяц
Уход за парком,Индивидуальное,Люблино,375,Раз в год
Эко-лекция,Групповое,Измайловский парк,46,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Зеленоград,489,Еженедельно
Уход за парком,Групповое,Крылатское,59,Раз в год
Уборка территории,Волонтерская деятельность,Измайловский парк,367,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Зеленоград,489,Раз в месяц
Уход за парком,Волонтерская деятельность,Измайловский парк,194,Раз в год
Уборка территории,Индивидуальное,Химки,282,Раз в месяц
Уход за парком,Индивидуальное,Сокольники,97,Раз в месяц
Уборка территории,Групповое,Зеленоград,435,Еженедельно
Эко-лекция,Групповое,Химки,469,Раз в месяц
Уборка территории,Групповое,Воробьевы горы,346,Раз в год
Эко-лекция,Групповое,Измайловский парк,226,Раз в месяц
Уборка территории,Групповое,Крылатское,17,Раз в год
Субботник,Волонтерская деятельность,Битцевский лес,89,Еженедельно
Насаждение деревьев,Групповое,Лосиный Остров,14,Раз в год
Субботник,Волонтерская деятельность,Химки,125,Еженедельно
Насаждение деревьев,Индивидуальное,Крылатское,372,Раз в год
Насаждение деревьев,Волонтерская деятельность,Мытищи,148,Еженедельно
Субботник,Групповое,Воробьевы горы,357,Раз в год
Субботник,Индивидуальное,Сокольники,346,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Крылатское,425,Раз в год
Насаждение деревьев,Групповое,Мытищи,119,Раз в месяц
Уход за парком,Волонтерская деятельность,Подольск,105,Еженедельно
Уход за парком,Индивидуальное,Воробьевы горы,180,Раз в месяц
Субботник,Групповое,Зеленоград,241,Еженедельно
Уход за парком,Индивидуальное,Битцевский лес,475,Еженедельно
Субботник,Индивидуальное,Лосиный Остров,341,Раз в год
Насаждение деревьев,Волонтерская деятельность,Подольск,353,Раз в месяц
Субботник,Волонтерская деятельность,Лосиный Остров,246,Еженедельно
Уборка территории,Индивидуальное,Мытищи,161,Раз в год
Уборка территории,Индивидуальное,Сокольники,82,Раз в год
Уборка территории,Волонтерская деятельность,Битцевский лес,143,Раз в год
Насаждение деревьев,Групповое,Битцевский лес,76,Еженедельно
Насаждение деревьев,Групповое,Мытищи,380,Еженедельно
Эко-лекция,Групповое,Люблино,61,Еженедельно
Субботник,Групповое,Парк Горького,496,Раз в месяц
Эко-лекция,Волонтерская деятельность,Воробьевы горы,348,Раз в месяц
Уход за парком,Волонтерская деятельность,Битцевский лес,205,Еженедельно
Уборка территории,Групповое,Мытищи,49,Раз в год
Уборка территории,Волонтерская деятельность,Измайловский парк,34,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Сокольники,37,Еженедельно
Эко-лекция,Волонтерская деятельность,Мытищи,371,Еженедельно
Насаждение деревьев,Индивидуальное,Мытищи,161,Раз в месяц
Уборка территории,Групповое,Мытищи,231,Еженедельно
Уход за парком,Групповое,Люблино,413,Раз в год
Уборка территории,Групповое,Сокольники,201,Раз в год
Уход за парком,Групповое,Битцевский лес,482,Раз в год
Уборка территории,Групповое,Парк Горького,337,Раз в год
Уход за парком,Индивидуальное,Крылатское,470,Раз в год
Уборка территории,Волонтерская деятельность,Воробьевы горы,425,Раз в год
Субботник,Волонтерская деятельность,Химки,437,Раз в месяц
Субботник,Групповое,Мытищи,74,Раз в месяц
Эко-лекция,Групповое,Зеленоград,130,Еженедельно
Уход за парком,Групповое,Воробьевы горы,203,Раз в год
Уборка территории,Групповое,Люблино,491,Раз в месяц
Уход за парком,Индивидуальное,Воробьевы горы,268,Раз в год
Уборка территории,Волонтерская деятельность,Воробьевы горы,415,Еженедельно
Уход за парком,Волонтерская деятельность,Люблино,428,Раз в год
Субботник,Индивидуальное,Зеленоград,149,Раз в год
Уборка территории,Волонтерская деятельность,Подольск,410,Раз в месяц
Уход за парком,Групповое,Химки,304,Раз в месяц
Уход за парком,Волонтерская деятельность,Зеленоград,281,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Зеленоград,380,Раз в год
Эко-лекция,Групповое,Крылатское,86,Еженедельно
Уборка территории,Групповое,Измайловский парк,180,Раз в месяц
Уход за парком,Волонтерская деятельность,Люблино,392,Еженедельно
Уход за парком,Волонтерская деятельность,Люблино,460,Раз в год
Насаждение деревьев,Индивидуальное,Мытищи,418,Раз в год
Насаждение деревьев,Групповое,Сокольники,294,Раз в год
Эко-лекция,Индивидуальное,Мытищи,72,Раз в год
Насаждение деревьев,Групповое,Воробьевы горы,196,Раз в год
Уход за парком,Индивидуальное,Сокольники,230,Еженедельно
Эко-лекция,Групповое,Крылатское,98,Раз в год
Уборка территории,Волонтерская деятельность,Зеленоград,169,Еженедельно
